# Name,X,Y,PHASE,MAG
FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD
LS3_WD01:BPM_D4389,LS3_WD01:BPM_D4389:XPOS_RD,LS3_WD01:BPM_D4389:YPOS_RD,LS3_WD01:BPM_D4389:PHASE_RD,LS3_WD01:BPM_D4389:MAG_RD
LS3_WD02:BPM_D4451,LS3_WD02:BPM_D4451:XPOS_RD,LS3_WD02:BPM_D4451:YPOS_RD,LS3_WD02:BPM_D4451:PHASE_RD,LS3_WD02:BPM_D4451:MAG_RD
LS3_WD03:BPM_D4513,LS3_WD03:BPM_D4513:XPOS_RD,LS3_WD03:BPM_D4513:YPOS_RD,LS3_WD03:BPM_D4513:PHASE_RD,LS3_WD03:BPM_D4513:MAG_RD
LS3_WD04:BPM_D4575,LS3_WD04:BPM_D4575:XPOS_RD,LS3_WD04:BPM_D4575:YPOS_RD,LS3_WD04:BPM_D4575:PHASE_RD,LS3_WD04:BPM_D4575:MAG_RD
LS3_WD05:BPM_D4637,LS3_WD05:BPM_D4637:XPOS_RD,LS3_WD05:BPM_D4637:YPOS_RD,LS3_WD05:BPM_D4637:PHASE_RD,LS3_WD05:BPM_D4637:MAG_RD
LS3_WD06:BPM_D4699,LS3_WD06:BPM_D4699:XPOS_RD,LS3_WD06:BPM_D4699:YPOS_RD,LS3_WD06:BPM_D4699:PHASE_RD,LS3_WD06:BPM_D4699:MAG_RD
LS3_BTS:BPM_D4753,LS3_BTS:BPM_D4753:XPOS_RD,LS3_BTS:BPM_D4753:YPOS_RD,LS3_BTS:BPM_D4753:PHASE_RD,LS3_BTS:BPM_D4753:MAG_RD
LS3_BTS:BPM_D4769,LS3_BTS:BPM_D4769:XPOS_RD,LS3_BTS:BPM_D4769:YPOS_RD,LS3_BTS:BPM_D4769:PHASE_RD,LS3_BTS:BPM_D4769:MAG_RD
LS3_BTS:BPM_D4843,LS3_BTS:BPM_D4843:XPOS_RD,LS3_BTS:BPM_D4843:YPOS_RD,LS3_BTS:BPM_D4843:PHASE_RD,LS3_BTS:BPM_D4843:MAG_RD
LS3_BTS:BPM_D4886,LS3_BTS:BPM_D4886:XPOS_RD,LS3_BTS:BPM_D4886:YPOS_RD,LS3_BTS:BPM_D4886:PHASE_RD,LS3_BTS:BPM_D4886:MAG_RD
LS3_BTS:BPM_D4968,LS3_BTS:BPM_D4968:XPOS_RD,LS3_BTS:BPM_D4968:YPOS_RD,LS3_BTS:BPM_D4968:PHASE_RD,LS3_BTS:BPM_D4968:MAG_RD
LS3_BTS:BPM_D5010,LS3_BTS:BPM_D5010:XPOS_RD,LS3_BTS:BPM_D5010:YPOS_RD,LS3_BTS:BPM_D5010:PHASE_RD,LS3_BTS:BPM_D5010:MAG_RD
LS3_BTS:BPM_D5092,LS3_BTS:BPM_D5092:XPOS_RD,LS3_BTS:BPM_D5092:YPOS_RD,LS3_BTS:BPM_D5092:PHASE_RD,LS3_BTS:BPM_D5092:MAG_RD
LS3_BTS:BPM_D5134,LS3_BTS:BPM_D5134:XPOS_RD,LS3_BTS:BPM_D5134:YPOS_RD,LS3_BTS:BPM_D5134:PHASE_RD,LS3_BTS:BPM_D5134:MAG_RD
LS3_BTS:BPM_D5216,LS3_BTS:BPM_D5216:XPOS_RD,LS3_BTS:BPM_D5216:YPOS_RD,LS3_BTS:BPM_D5216:PHASE_RD,LS3_BTS:BPM_D5216:MAG_RD
LS3_BTS:BPM_D5259,LS3_BTS:BPM_D5259:XPOS_RD,LS3_BTS:BPM_D5259:YPOS_RD,LS3_BTS:BPM_D5259:PHASE_RD,LS3_BTS:BPM_D5259:MAG_RD
LS3_BTS:BPM_D5340,LS3_BTS:BPM_D5340:XPOS_RD,LS3_BTS:BPM_D5340:YPOS_RD,LS3_BTS:BPM_D5340:PHASE_RD,LS3_BTS:BPM_D5340:MAG_RD
LS3_BTS:BPM_D5381,LS3_BTS:BPM_D5381:XPOS_RD,LS3_BTS:BPM_D5381:YPOS_RD,LS3_BTS:BPM_D5381:PHASE_RD,LS3_BTS:BPM_D5381:MAG_RD
LS3_BTS:BPM_D5430,LS3_BTS:BPM_D5430:XPOS_RD,LS3_BTS:BPM_D5430:YPOS_RD,LS3_BTS:BPM_D5430:PHASE_RD,LS3_BTS:BPM_D5430:MAG_RD
LS3_BTS:BPM_D5445,LS3_BTS:BPM_D5445:XPOS_RD,LS3_BTS:BPM_D5445:YPOS_RD,LS3_BTS:BPM_D5445:PHASE_RD,LS3_BTS:BPM_D5445:MAG_RD
BDS_BTS:BPM_D5499,BDS_BTS:BPM_D5499:XPOS_RD,BDS_BTS:BPM_D5499:YPOS_RD,BDS_BTS:BPM_D5499:PHASE_RD,BDS_BTS:BPM_D5499:MAG_RD
BDS_BTS:BPM_D5513,BDS_BTS:BPM_D5513:XPOS_RD,BDS_BTS:BPM_D5513:YPOS_RD,BDS_BTS:BPM_D5513:PHASE_RD,BDS_BTS:BPM_D5513:MAG_RD
BDS_BTS:BPM_D5565,BDS_BTS:BPM_D5565:XPOS_RD,BDS_BTS:BPM_D5565:YPOS_RD,BDS_BTS:BPM_D5565:PHASE_RD,BDS_BTS:BPM_D5565:MAG_RD
BDS_BBS:BPM_D5625,BDS_BBS:BPM_D5625:XPOS_RD,BDS_BBS:BPM_D5625:YPOS_RD,BDS_BBS:BPM_D5625:PHASE_RD,BDS_BBS:BPM_D5625:MAG_RD
BDS_BTS:BPM_D5649,BDS_BTS:BPM_D5649:XPOS_RD,BDS_BTS:BPM_D5649:YPOS_RD,BDS_BTS:BPM_D5649:PHASE_RD,BDS_BTS:BPM_D5649:MAG_RD
BDS_BBS:BPM_D5653,BDS_BBS:BPM_D5653:XPOS_RD,BDS_BBS:BPM_D5653:YPOS_RD,BDS_BBS:BPM_D5653:PHASE_RD,BDS_BBS:BPM_D5653:MAG_RD
BDS_BBS:BPM_D5680,BDS_BBS:BPM_D5680:XPOS_RD,BDS_BBS:BPM_D5680:YPOS_RD,BDS_BBS:BPM_D5680:PHASE_RD,BDS_BBS:BPM_D5680:MAG_RD
BDS_FFS:BPM_D5742,BDS_FFS:BPM_D5742:XPOS_RD,BDS_FFS:BPM_D5742:YPOS_RD,BDS_FFS:BPM_D5742:PHASE_RD,BDS_FFS:BPM_D5742:MAG_RD
BDS_FFS:BPM_D5772,BDS_FFS:BPM_D5772:XPOS_RD,BDS_FFS:BPM_D5772:YPOS_RD,BDS_FFS:BPM_D5772:PHASE_RD,BDS_FFS:BPM_D5772:MAG_RD
BDS_FFS:BPM_D5790,BDS_FFS:BPM_D5790:XPOS_RD,BDS_FFS:BPM_D5790:YPOS_RD,BDS_FFS:BPM_D5790:PHASE_RD,BDS_FFS:BPM_D5790:MAG_RD
BDS_FFS:BPM_D5803,BDS_FFS:BPM_D5803:XPOS_RD,BDS_FFS:BPM_D5803:YPOS_RD,BDS_FFS:BPM_D5803:PHASE_RD,BDS_FFS:BPM_D5803:MAG_RD
BDS_FFS:BPM_D5818,BDS_FFS:BPM_D5818:XPOS_RD,BDS_FFS:BPM_D5818:YPOS_RD,BDS_FFS:BPM_D5818:PHASE_RD,BDS_FFS:BPM_D5818:MAG_RD
