# Name,X,Y,PHASE,MAG
FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD
LS1_WB04:BPM_D1477,LS1_WB04:BPM_D1477:XPOS_RD,LS1_WB04:BPM_D1477:YPOS_RD,LS1_WB04:BPM_D1477:PHASE_RD,LS1_WB04:BPM_D1477:MAG_RD
LS1_CB05:BPM_D1486,LS1_CB05:BPM_D1486:XPOS_RD,LS1_CB05:BPM_D1486:YPOS_RD,LS1_CB05:BPM_D1486:PHASE_RD,LS1_CB05:BPM_D1486:MAG_RD
LS1_CB05:BPM_D1506,LS1_CB05:BPM_D1506:XPOS_RD,LS1_CB05:BPM_D1506:YPOS_RD,LS1_CB05:BPM_D1506:PHASE_RD,LS1_CB05:BPM_D1506:MAG_RD
LS1_CB05:BPM_D1526,LS1_CB05:BPM_D1526:XPOS_RD,LS1_CB05:BPM_D1526:YPOS_RD,LS1_CB05:BPM_D1526:PHASE_RD,LS1_CB05:BPM_D1526:MAG_RD
LS1_WB05:BPM_D1541,LS1_WB05:BPM_D1541:XPOS_RD,LS1_WB05:BPM_D1541:YPOS_RD,LS1_WB05:BPM_D1541:PHASE_RD,LS1_WB05:BPM_D1541:MAG_RD
LS1_CB06:BPM_D1550,LS1_CB06:BPM_D1550:XPOS_RD,LS1_CB06:BPM_D1550:YPOS_RD,LS1_CB06:BPM_D1550:PHASE_RD,LS1_CB06:BPM_D1550:MAG_RD
LS1_CB06:BPM_D1570,LS1_CB06:BPM_D1570:XPOS_RD,LS1_CB06:BPM_D1570:YPOS_RD,LS1_CB06:BPM_D1570:PHASE_RD,LS1_CB06:BPM_D1570:MAG_RD
LS1_CB06:BPM_D1590,LS1_CB06:BPM_D1590:XPOS_RD,LS1_CB06:BPM_D1590:YPOS_RD,LS1_CB06:BPM_D1590:PHASE_RD,LS1_CB06:BPM_D1590:MAG_RD
LS1_WB06:BPM_D1604,LS1_WB06:BPM_D1604:XPOS_RD,LS1_WB06:BPM_D1604:YPOS_RD,LS1_WB06:BPM_D1604:PHASE_RD,LS1_WB06:BPM_D1604:MAG_RD
LS1_CB07:BPM_D1614,LS1_CB07:BPM_D1614:XPOS_RD,LS1_CB07:BPM_D1614:YPOS_RD,LS1_CB07:BPM_D1614:PHASE_RD,LS1_CB07:BPM_D1614:MAG_RD
LS1_CB07:BPM_D1634,LS1_CB07:BPM_D1634:XPOS_RD,LS1_CB07:BPM_D1634:YPOS_RD,LS1_CB07:BPM_D1634:PHASE_RD,LS1_CB07:BPM_D1634:MAG_RD
